Timestamp(s),Execution time(s))
1701091640,0.109316
1701091640,0.105816
1701091641,0.104073
1701091642,0.0993839
1701091643,0.100979
1701091644,0.0984837
1701091645,0.0982579
1701091646,0.0980406
1701091647,0.0979581
1701091648,0.102105
1701091649,0.114157
1701091650,0.101016
1701091651,0.102087
1701091652,0.0991653
1701091653,0.0978034
1701091654,0.101963
1701091655,0.0985101
1701091656,0.0983422
1701091657,0.0981494
1701091658,0.0989983
1701091659,0.0978203
1701091660,0.0997773
1701091661,0.100023
1701091662,0.0980934
1701091663,0.0986528
1701091664,0.0981593
1701091665,0.0978581
1701091666,0.104184
1701091667,0.095868
1701091668,0.0970511
1701091669,0.0976983
1701091670,0.0998406
1701091671,0.0976628
1701091672,0.100517
1701091673,0.0969393
1701091674,0.0980626
1701091675,0.0992639
1701091676,0.0985522
1701091677,0.0994775
1701091678,0.1004
1701091679,0.0981074
1701091680,0.102993
1701091681,0.102502
1701091682,0.0974677
1701091683,0.100682
1701091684,0.113153
1701091685,0.0996386
1701091686,0.108056
1701091687,0.110992
1701091688,0.104285
1701091689,0.105211
1701091690,0.0999842
1701091691,0.102574
1701091692,0.0967032
1701091693,0.0959949
1701091694,0.0986476
1701091695,0.105443
1701091696,0.104524
1701091697,0.103798
1701091698,0.0975184
1701091699,0.100288
1701091700,0.0993212
1701091701,0.0983124
1701091702,0.109247
1701091703,0.0960983
1701091704,0.0972394
1701091705,0.0964141
1701091706,0.0967641
1701091707,0.0976098
1701091708,0.0960801
1701091709,0.0976558
1701091710,0.0991018
1701091711,0.0991087
1701091712,0.101336
1701091713,0.0982449
1701091714,0.096455
1701091715,0.098819
1701091716,0.102511
1701091717,0.0961129
1701091718,0.0966006
1701091719,0.0957595
1701091720,0.0981624
1701091721,0.0969254
1701091722,0.104939
1701091723,0.095999
1701091724,0.0968639
1701091725,0.0972069
1701091726,0.0960244
1701091727,0.0988935
1701091728,0.097194
1701091729,0.0985791
1701091730,0.0992109
1701091731,0.102411
1701091732,0.0994602
1701091733,0.0961503
1701091734,0.0983147
1701091735,0.101691
1701091736,0.0972391
