Timestamp(s),Execution time(s))
1701091287,0.539915
1701091288,0.353603
1701091289,0.354671
1701091290,0.35569
1701091291,0.333796
1701091292,0.332175
1701091293,0.355816
1701091294,0.332359
1701091295,0.337381
1701091296,0.334774
1701091297,0.328154
1701091298,0.331962
1701091299,0.351878
1701091300,0.363656
1701091301,0.338472
1701091302,0.331268
1701091303,0.335275
1701091304,0.329399
1701091305,0.34407
1701091306,0.330137
1701091307,0.329813
1701091308,0.332558
1701091309,0.350047
1701091310,0.339647
1701091311,0.333983
1701091312,0.33469
1701091313,0.334453
1701091314,0.336245
1701091315,0.346723
1701091316,0.341568
1701091317,0.33354
1701091318,0.333404
1701091319,0.333867
1701091320,0.345497
1701091321,0.331576
1701091322,0.339865
1701091323,0.337262
1701091324,0.333159
1701091325,0.330196
1701091326,0.333901
1701091327,0.332633
1701091328,0.332682
1701091329,0.332355
1701091330,0.333151
1701091331,0.337006
1701091332,0.337708
1701091333,0.335226
1701091334,0.332237
1701091335,0.336901
1701091336,0.346025
1701091337,0.346928
1701091338,0.359511
1701091339,0.341551
1701091340,0.346312
1701091341,0.332387
1701091342,0.336398
1701091343,0.338777
1701091344,0.335152
1701091345,0.337665
1701091346,0.344363
1701091347,0.343202
1701091348,0.344149
1701091349,0.341526
1701091350,0.337063
1701091351,0.339257
1701091352,0.348388
1701091353,0.348643
1701091354,0.364847
1701091355,0.339318
1701091356,0.364989
1701091357,0.353157
1701091358,0.342366
1701091359,0.34732
1701091360,0.35692
1701091361,0.348512
1701091362,0.352815
1701091363,0.335672
1701091364,0.339502
1701091365,0.33918
1701091366,0.346526
1701091367,0.33422
1701091368,0.356965
1701091369,0.333838
1701091370,0.333331
1701091371,0.333709
1701091372,0.333475
1701091373,0.339926
1701091374,0.334508
1701091375,0.339834
1701091376,0.337446
1701091377,0.34061
1701091378,0.34162
1701091379,0.338426
1701091380,0.332523
1701091381,0.337309
1701091382,0.34231
1701091383,0.330294
